"","receiver","id_pk","station_name","deploy_date_time","recover_date_time","deploy_lat","deploy_long","detection_count","sum_deploy"
"242","VR2W-122354",1476,"ak-29","00:00.0","00:00.0",51.096888,5.1133155,468745,1687156
"243","VR2W-122357",2028,"gn-Lier","00:00.0","00:00.0",51.13594,4.59381,443,782
"244","VR2W-122358",1766,"ak-39","00:00.0","00:00.0",51.2248728,4.544249,7333,72039
"245","VR2W-122359",1596,"HH11","00:00.0","00:00.0",51.194393,5.155753,5656,11111
"246","VR2W-122360",1542,"ak-33","00:00.0","00:00.0",51.0985513,5.1029468,67114,496841
"247","VR2W-122361",1394,"ak-5","00:00.0","00:00.0",50.627465,5.573548,458,3461
"248","VR2W-122362",1382,"de-22","00:00.0","00:00.0",NA,NA,490,622
"249","VR2W-122362",1589,"M-3","00:00.0","00:00.0",51.0229057,4.497271313,10,130021
"250","VR2W-122363",1440,"de-20","00:00.0","00:00.0",50.9847044,5.0765513,75,75
"251","VR2W-122363",1469,"s-4a","00:00.0","00:00.0",51.03203,4.18166,308,5469
"252","VR2W-122364",1432,"de-13","00:00.0","00:00.0",50.9918161,5.0578433,126668,145918
"253","VR2W-122365",1578,"ak-8","00:00.0","00:00.0",50.648447,5.603056,1286,11131
"254","VR2W-122366",1560,"ak-11","00:00.0","00:00.0",50.65697,5.626992,949,1719
"255","VR2W-122367",1383,"de-15","00:00.0","00:00.0",NA,NA,1952,1952
"256","VR2W-122367",1430,"de-12","00:00.0","00:00.0",50.9911178,5.0574492,1214,9749
"257","VR2W-122367",1781,"s-4b","00:00.0","00:00.0",51.05593,4.20024,977,32777
"258","VR2W-123812",1395,"bpns-NIEUWPOORTKUST8","00:00.0","00:00.0",51.160167,2.691833333,3,17
"259","VR2W-123813",1449,"ws-STEEN","00:00.0","00:00.0",51.403409,3.465898,132,1189
"260","VR2W-123815",1619,"ws-W6","00:00.0","00:00.0",51.41834,3.453181,16,1710
"261","VR2W-123816",1451,"ws-WN2","00:00.0","00:00.0",51.428174,3.462181,28,1131
"262","VR2W-123817",1618,"ws-TRAWL","00:00.0","00:00.0",51.437785,3.470347,52,538
"263","VR2W-123818",1448,"ws-GVWSP","00:00.0","00:00.0",51.447341,3.470514,6,161
"264","VR2W-123819",1616,"ws-SP3","00:00.0","00:00.0",51.459333,3.4718333,40,73
"265","VR2W-123820",1611,"ws-DL7","00:00.0","00:00.0",51.471342,3.475013,21,160
"266","VR2W-123821",1612,"ws-DL9","00:00.0","00:00.0",51.465842,3.48868,14,20
"267","VR2W-123822",1547,"bpns-D1","00:00.0","00:00.0",51.2325,2.643166667,7,9
