receiver,id_pk,station_name,deploy_date_time,recover_date_time,deploy_lat,deploy_long,detection_count
VR2W-112292,1419,bh-5,00:00.0,00:00.0,51.2503008,3.5426743,247350
VR2W-112292,2033,s-Dendermonde,00:00.0,00:00.0,51.03855,4.1175,35202
VR2W-112292,2248,s-Dendermonde,00:00.0,00:00.0,51.03855,4.1175,5101
VR2W-112292,2665,s-Dendermonde,00:00.0,00:00.0,51.03855,4.1175,1269
VR2W-112292,2791,bh-5,00:00.0,00:00.0,51.2503008,3.5426743,19282
VR2W-112293,2415,Tst,00:00.0,00:00.0,51.00435542,3.805413233,22
VR2W-112293,2416,Tst,00:00.0,00:00.0,51.00435542,3.805413233,3
VR2W-112293,2417,Tst,00:00.0,00:00.0,51.00435542,3.805413233,25
VR2W-112294,1409,bh-21,00:00.0,00:00.0,51.2701028,3.7117942,42960
VR2W-112294,2179,VLVS8,00:00.0,00:00.0,51.35151,4.15666,220
VR2W-112294,2793,bh-21,00:00.0,00:00.0,51.2701028,3.7117942,476
VR2W-112295,1500,s-8,00:00.0,00:00.0,51.14319,4.33078,6587
VR2W-112295,1641,bh-16,00:00.0,00:00.0,51.267064,3.6744238,108091
VR2W-112295,1696,s-8,00:00.0,00:00.0,51.14319,4.33078,125
VR2W-112295,1940,s-8,00:00.0,00:00.0,51.14319,4.33078,315
VR2W-112295,2239,s-8,00:00.0,00:00.0,51.14319,4.33078,982
VR2W-112295,2400,Dend,00:00.0,00:00.0,51.0346571,4.106097714,141
VR2W-112295,2401,Dend,00:00.0,00:00.0,51.0346571,4.106097714,33
VR2W-112295,2402,Dend,00:00.0,00:00.0,51.0346571,4.106097714,62
VR2W-112295,2655,s-8,00:00.0,00:00.0,51.14319,4.33078,279
VR2W-112296,1442,bh-37,00:00.0,00:00.0,51.3389165,3.7679196,32772
VR2W-112296,1954,bh-37,00:00.0,00:00.0,51.3389165,3.7679196,119
VR2W-112296,2291,bn-Walem,00:00.0,00:00.0,51.07183,4.45474,16
VR2W-112296,3040,bn-Walem,00:00.0,,51.07183,4.45474,117
VR2W-112297,1481,bh-1,00:00.0,00:00.0,51.3412021,3.2162872,7
VR2W-112297,2027,s-Wetteren,00:00.0,00:00.0,51.00164,3.85695,64
VR2W-112297,2249,s-Wetteren,00:00.0,00:00.0,51.00164,3.85695,47361
VR2W-112297,2297,RingvZ,00:00.0,00:00.0,51.00707559,3.751243194,786
VR2W-112297,2298,RingvZ,00:00.0,00:00.0,51.00707559,3.751243194,6285
