collectioncode,seriescode,ocean,station_name,station_type,stn_lat,stn_long,stationstatus,locality,model,instrumenttype,deploy_date,last_download,recovery_date,downloads,off_set,the_geom,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.3,2.71,active,North Sea,VR2W,rcvr,20170406,,,1,,0101000000AE47E17A14AE05406666666666A64940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.3,4.29,active,North Sea,VR2W,rcvr,20171004,,,1,,0101000000295C8FC2F52811406666666666A64940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.3,4.29,active,North Sea,VR2W,rcvr,20171004,,,1,,0101000000295C8FC2F52811406666666666A64940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.34,4.3,active,,VR2W,rcvr,20171025,,,1,,01010000003333333333331140EC51B81E85AB4940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.35,2.7,active,North Sea,VR2W,rcvr,20170404,,,1,,01010000009A99999999990540CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.74,active,North Sea,VR2W,rcvr,20170215,,,1,,0101000000EC51B81E85EB0D40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.75,active,North Sea,VR2W,rcvr,20170215,,,1,,01010000000000000000000E40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.77,active,North Sea,VR2W,rcvr,20170214,,,1,,0101000000295C8FC2F5280E40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.78,active,,VR2W,rcvr,20170214,,,1,,01010000003D0AD7A3703D0E40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.8,active,North Sea,VR2W,rcvr,20170214,,,1,,01010000006666666666660E40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.8,active,North Sea,VR2W,rcvr,20170215,,,1,,01010000006666666666660E40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.35,3.81,active,North Sea,VR2W,rcvr,20170214,,,1,,01010000007B14AE47E17A0E40CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.35,4.28,active,,VR2W,rcvr,20171025,,,1,,01010000001F85EB51B81E1140CDCCCCCCCCAC4940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.36,2.52,active,North Sea,VR2W,rcvr,20170406,,,1,,0101000000295C8FC2F5280440AE47E17A14AE4940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.36,2.97,active,North Sea,VR2W,rcvr,20170925,,,1,,0101000000C3F5285C8FC20740AE47E17A14AE4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.36,3.75,active,North Sea,VR2W,rcvr,20170215,,,1,,01010000000000000000000E40AE47E17A14AE4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.36,3.76,active,North Sea,VR2W,rcvr,20170214,,,1,,010100000014AE47E17A140E40AE47E17A14AE4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.36,3.77,active,North Sea,VR2W,rcvr,20170215,,,1,,0101000000295C8FC2F5280E40AE47E17A14AE4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.36,3.78,active,North Sea,VR2W,rcvr,20170215,,,1,,01010000003D0AD7A3703D0E40AE47E17A14AE4940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.37,3.26,active,North Sea,VR2W,rcvr,20170925,,,1,,010100000014AE47E17A140A408FC2F5285CAF4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.37,3.72,active,North Sea,VR2W,rcvr,20170215,,,1,,0101000000C3F5285C8FC20D408FC2F5285CAF4940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.37,3.73,active,North Sea,VR2W,rcvr,20170215,,,1,,0101000000D7A3703D0AD70D408FC2F5285CAF4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.37,4.3,active,,VR2W,rcvr,20171025,,,1,,010100000033333333333311408FC2F5285CAF4940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.38,3.18,active,North Sea,VR2W,rcvr,20170925,,,1,,0101000000713D0AD7A3700940713D0AD7A3B04940,,,,,,,,,,,,,,,,,,,,,,,,
Westerschelde,ETN,NE ATLANTIC,ws2,acoustic,51.38,3.72,active,North Sea,VR2W,rcvr,20170215,,,1,,0101000000C3F5285C8FC20D40713D0AD7A3B04940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.39,3.3,active,North Sea,VR2W,rcvr,20170925,,,1,,01010000006666666666660A4052B81E85EBB14940,,,,,,,,,,,,,,,,,,,,,,,,
